Gender,Race,Age_at_Release,Supervision_Level,Educ_HighSchool,Educ_College,Dependents,Prison_Years_plus2,Prior_Conviction_Felony,Prior_Conviction_Misd,Recidivism_Arrest_Year1
M,BLACK,46,0,0,1,1,1,1,1,FALSE
M,BLACK,36,1,0,0,1,1,1,1,FALSE
M,BLACK,54,1,0,1,1,0,1,1,FALSE
M,WHITE,39,1,0,0,1,0,1,1,FALSE
M,WHITE,37,1,0,0,1,0,1,0,TRUE
M,WHITE,39,0,1,0,0,1,1,0,FALSE
M,BLACK,64,0,0,0,1,0,1,1,FALSE
M,BLACK,41,1,1,0,1,1,1,1,FALSE
F,BLACK,47,1,1,0,0,0,1,1,TRUE
M,BLACK,45,0,1,0,1,1,1,1,TRUE
M,WHITE,45,1,0,0,1,0,0,1,FALSE
M,BLACK,33,1,1,0,1,0,1,1,TRUE
M,WHITE,51,0,0,0,1,1,1,0,FALSE
M,BLACK,34,0,1,0,0,0,0,1,TRUE
M,WHITE,37,0,0,0,1,1,1,1,FALSE
M,BLACK,36,0,0,0,1,1,1,1,FALSE
M,BLACK,41,1,0,0,1,0,1,1,TRUE
M,WHITE,47,0,1,0,1,0,1,1,FALSE
M,BLACK,56,1,0,1,1,1,1,1,FALSE
M,WHITE,50,0,0,0,0,0,1,1,FALSE
M,BLACK,42,0,1,0,1,0,1,1,FALSE
M,BLACK,33,0,0,0,1,0,1,1,FALSE
F,WHITE,55,0,1,0,0,0,1,1,FALSE
F,WHITE,46,0,0,0,0,0,1,1,FALSE
M,BLACK,40,0,0,0,1,0,1,1,TRUE
M,WHITE,53,0,0,0,1,0,1,1,TRUE
M,WHITE,55,1,0,0,0,0,1,1,FALSE
M,WHITE,60,0,0,0,0,0,1,1,FALSE
M,BLACK,44,1,1,0,0,1,1,1,FALSE
M,BLACK,22,1,0,0,0,0,0,0,TRUE
M,WHITE,46,1,0,1,0,0,1,1,TRUE
F,WHITE,43,1,0,0,0,0,1,1,FALSE
M,WHITE,44,0,1,0,1,0,1,1,FALSE
F,WHITE,39,1,0,1,1,0,1,1,TRUE
M,WHITE,37,0,0,0,0,0,1,1,TRUE
M,BLACK,63,0,0,0,0,0,1,1,FALSE
M,WHITE,43,0,1,0,1,0,1,1,FALSE
M,BLACK,36,1,0,0,0,1,1,1,FALSE
M,BLACK,33,0,1,0,1,0,1,1,FALSE
F,BLACK,40,0,0,1,1,0,0,0,FALSE
M,WHITE,33,1,1,0,1,1,1,1,TRUE
M,BLACK,51,1,1,0,1,0,1,1,FALSE
F,WHITE,45,0,0,1,0,0,1,1,TRUE
M,WHITE,35,1,1,0,1,0,1,1,TRUE
M,BLACK,46,0,1,0,0,0,1,1,FALSE
M,BLACK,38,1,0,0,1,1,1,1,FALSE
M,WHITE,38,0,1,0,1,0,1,1,FALSE
M,WHITE,39,1,1,0,1,0,0,0,FALSE
M,WHITE,37,0,1,0,1,0,1,1,TRUE
M,BLACK,42,1,0,0,0,1,1,1,FALSE
F,WHITE,47,1,0,1,0,0,1,1,FALSE
M,WHITE,34,1,0,1,0,0,1,1,TRUE
M,WHITE,19,1,0,1,1,0,1,1,FALSE
M,BLACK,59,0,0,0,1,0,1,1,FALSE
M,BLACK,40,1,1,0,1,0,1,1,FALSE
M,BLACK,24,1,0,0,1,1,1,1,TRUE
M,BLACK,38,1,1,0,0,0,1,1,FALSE
M,WHITE,36,1,0,0,1,0,1,1,FALSE
M,BLACK,40,0,0,1,0,1,1,1,FALSE
M,BLACK,35,1,1,0,1,0,1,0,TRUE
M,WHITE,47,1,0,0,1,0,1,1,FALSE
M,BLACK,33,1,0,0,1,1,1,1,FALSE
F,WHITE,57,0,0,0,0,0,1,1,FALSE
M,BLACK,44,0,1,0,1,0,1,1,FALSE
F,WHITE,45,0,1,0,1,1,1,1,FALSE
F,WHITE,52,1,1,0,0,0,1,1,TRUE
M,BLACK,35,1,0,1,0,0,1,1,TRUE
M,BLACK,29,1,0,0,1,0,1,1,FALSE
M,BLACK,37,0,1,0,1,0,1,1,FALSE
M,BLACK,33,1,1,0,1,1,1,1,FALSE
F,WHITE,51,0,0,0,0,0,1,1,FALSE
M,WHITE,40,0,1,0,1,0,1,1,FALSE
M,WHITE,36,1,0,0,0,1,1,1,FALSE
M,BLACK,35,0,0,0,1,0,1,0,FALSE
M,WHITE,40,1,1,0,1,0,1,1,TRUE
M,BLACK,45,0,1,0,0,1,1,1,TRUE
M,WHITE,46,1,0,1,1,1,1,1,FALSE
F,WHITE,47,1,1,0,1,0,1,1,FALSE
M,BLACK,37,1,0,0,1,1,1,1,FALSE
M,BLACK,36,0,1,0,1,0,1,1,FALSE
M,BLACK,36,0,1,0,0,0,1,1,TRUE
M,BLACK,37,0,1,0,1,1,1,1,TRUE
M,WHITE,49,0,0,1,1,0,1,1,TRUE
M,BLACK,42,1,1,0,0,1,1,1,FALSE
F,BLACK,36,0,0,0,1,0,1,1,TRUE
M,WHITE,46,1,1,0,0,0,1,1,FALSE
M,WHITE,31,0,1,0,0,0,1,1,FALSE
F,BLACK,34,1,1,0,1,1,1,1,FALSE
M,BLACK,36,1,1,0,1,0,1,1,FALSE
M,BLACK,47,1,1,0,1,0,1,1,FALSE
M,WHITE,34,0,1,0,1,0,1,1,FALSE
M,BLACK,40,0,0,0,1,0,0,1,FALSE
M,WHITE,34,0,1,0,1,0,1,1,FALSE
M,WHITE,30,1,1,0,0,0,1,1,TRUE
M,BLACK,35,1,0,0,0,0,1,0,FALSE
M,WHITE,44,1,1,0,0,0,1,1,TRUE
F,WHITE,30,1,0,0,1,1,1,1,FALSE
M,WHITE,37,1,1,0,0,0,1,1,TRUE
M,WHITE,60,1,1,0,1,1,1,1,FALSE
M,WHITE,49,1,1,0,1,1,1,1,FALSE
F,BLACK,33,0,0,1,0,0,1,1,FALSE
M,WHITE,57,0,1,0,1,0,1,1,FALSE
M,WHITE,38,0,0,0,1,0,1,1,FALSE
M,BLACK,33,1,1,0,1,1,1,1,FALSE
F,BLACK,44,1,0,0,1,0,1,1,FALSE
M,WHITE,44,0,1,0,1,0,1,1,FALSE
F,WHITE,40,0,0,0,0,0,1,1,FALSE
M,BLACK,51,0,1,0,1,0,1,1,FALSE
F,WHITE,47,1,0,0,1,1,1,1,FALSE
M,BLACK,56,0,0,0,0,1,1,1,TRUE
M,WHITE,35,1,1,0,1,0,1,1,FALSE
M,BLACK,42,1,0,1,0,0,1,1,FALSE
M,WHITE,37,1,0,0,1,0,1,1,TRUE
M,BLACK,47,0,1,0,1,1,1,1,FALSE
M,WHITE,41,1,0,0,0,0,1,1,FALSE
M,WHITE,50,0,0,0,1,0,1,1,FALSE
M,BLACK,56,1,1,0,1,1,1,1,TRUE
M,WHITE,59,0,0,0,1,0,1,1,FALSE
M,BLACK,58,0,0,0,0,0,1,1,FALSE
M,WHITE,54,0,1,0,1,0,1,1,TRUE
M,BLACK,42,0,0,1,1,1,1,1,FALSE
M,BLACK,36,0,1,0,1,0,1,1,FALSE
M,BLACK,32,1,0,0,1,1,1,1,FALSE
M,WHITE,34,1,1,0,0,1,1,1,FALSE
